id,title,average_rating,budget,worldwide_gross,runtime
323,Alai Payuthey,8.3,19000000.0,350000000.0,156
324,Pathemari,8.3,19000000.0,6130561.0,118
325,Thulladha Manamum Thullum,8.3,19000000.0,6130561.0,170
326,Aloko Udapadi,8.3,130000000.0,6130561.0,113
327,Wicked,8.2,150000000.0,194926510.0,160
328,Anora,8.2,19000000.0,22232841.0,139
329,The Wolf of Wall Street,8.2,100000000.0,407039432.0,180
330,Top Gun: Maverick,8.2,170000000.0,1495696292.0,130
331,No Country for Old Men,8.2,25000000.0,171632777.0,122
332,Die Hard,8.2,28000000.0,143651650.0,132
333,Spider-Man: No Way Home,8.2,200000000.0,1952723719.0,148
334,Jurassic Park,8.2,63000000.0,1104379926.0,127
335,Batman Begins,8.2,150000000.0,375404836.0,140
336,Prisoners,8.2,46000000.0,122127446.0,153
337,Shutter Island,8.2,80000000.0,294946413.0,138
338,Taxi Driver,8.2,1300000.0,28580445.0,114
339,The Truman Show,8.2,60000000.0,264118712.0,103
340,The Thing,8.2,15000000.0,20630135.0,109
341,1917,8.2,95000000.0,446064352.0,119
342,Unforgiven,8.2,14400000.0,159167799.0,130
343,Kishkkindha Kandam,8.2,19000000.0,1882951.0,133
344,The Sixth Sense,8.2,40000000.0,672806432.0,107
345,Green Book,8.2,23000000.0,321752656.0,130
346,Snatch,8.2,6000000.0,83557872.0,104
347,Klaus,8.2,40000000.0,6130561.0,96
348,A Clockwork Orange,8.2,2200000.0,27034174.0,136
349,There Will Be Blood,8.2,25000000.0,76186873.0,158
350,Full Metal Jacket,8.2,30000000.0,50193748.0,116
351,Casino,8.2,52000000.0,116112375.0,178
352,A Beautiful Mind,8.2,58000000.0,316791257.0,135
353,Kill Bill: Vol. 1,8.2,30000000.0,180908413.0,111
354,El Laberinto Del Fauno,8.2,19000000.0,83863565.0,118
355,Howl's Moving Castle,8.2,24000000.0,240589632.0,119
356,Tumbbad,8.2,19000000.0,1691980.0,108
357,L.A. Confidential,8.2,35000000.0,126216940.0,138
358,Finding Nemo,8.2,94000000.0,941637960.0,100
359,Indiana Jones and the Last Crusade,8.2,48000000.0,474171806.0,127
360,Der Untergang,8.2,13500000.0,92181574.0,156
361,Gone with the Wind,8.2,3977000.0,402382193.0,238
362,El Secreto De Sus Ojos,8.2,2000000.0,35079650.0,129
363,The Father,8.2,6000000.0,24048935.0,97
364,Monty Python and the Holy Grail,8.2,229575.0,2817496.0,91
365,Some Like It Hot,8.2,2883848.0,208457.0,121
366,The Great Escape,8.2,4000000.0,230637.0,172
367,The Elephant Man,8.2,5000000.0,26028672.0,124
368,Ran,8.2,11500000.0,4172381.0,160
369,Per qualche dollaro in più,8.2,600000.0,15000000.0,132
370,All About Eve,8.2,1400000.0,154501.0,138
371,Dial M for Murder,8.2,1400000.0,45313.0,105
372,Demon Slayer: Mugen Train,8.2,15000000.0,473230408.0,117
373,Rashōmon,8.2,250000.0,133998.0,88
374,Hi Nanna,8.2,19000000.0,210780.0,155
375,The Act of Killing,8.2,1000000.0,726324.0,117
376,Manjummel Boys,8.2,19000000.0,3784106.0,135
377,A Man in the Crowd,8.2,19000000.0,6130561.0,126
378,Inside Job,8.2,2000000.0,7871522.0,109
380,Bacheha-Ye Aseman,8.2,180000.0,933933.0,89
381,The Treasure of the Sierra Madre,8.2,3000000.0,5014000.0,126
382,Yojimbo,8.2,19000000.0,66290.0,110
384,Yedinci Kogustaki Mucize,8.2,19000000.0,17163660.0,132
385,K.G.F: Chapter 2,8.2,1000000000.0,89123940.0,166
